primary_country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,>15
Croatia,0.0,0.10638297872340426,0.06382978723404255,0.06382978723404255,0.0425531914893617,0.0851063829787234,0.02127659574468085,0.0425531914893617,0.0,0.06382978723404255,0.0,0.02127659574468085,0.06382978723404255,0.02127659574468085,0.0,0.06382978723404255,0.3404255319148936
Czech Republic,0.0,0.12837837837837837,0.13513513513513514,0.08108108108108109,0.060810810810810814,0.0472972972972973,0.033783783783783786,0.0472972972972973,0.033783783783783786,0.013513513513513514,0.0472972972972973,0.02027027027027027,0.05405405405405406,0.0472972972972973,0.04054054054054054,0.02702702702702703,0.18243243243243243
Czechia,0.0,0.1111111111111111,0.05555555555555555,0.0,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.2777777777777778
Côte d'Ivoire,0.0,0.0,0.2727272727272727,0.0,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453
Democratic Republic of the Congo,0.0,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,0.0,0.36363636363636365,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.18181818181818182
Denmark,0.06220095693779904,0.15311004784688995,0.20095693779904306,0.12440191387559808,0.09409888357256778,0.06060606060606061,0.049441786283891544,0.03827751196172249,0.03508771929824561,0.03508771929824561,0.02073365231259968,0.012759170653907496,0.011164274322169059,0.01594896331738437,0.007974481658692184,0.006379585326953748,0.07177033492822966
Ecuador,0.0,0.0,0.09523809523809523,0.0,0.047619047619047616,0.14285714285714285,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.47619047619047616
Egypt,0.0,0.0,0.20833333333333334,0.041666666666666664,0.0,0.041666666666666664,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.125,0.08333333333333333,0.0,0.0,0.16666666666666666
Estonia,0.0,0.02564102564102564,0.038461538461538464,0.07692307692307693,0.0641025641025641,0.08974358974358974,0.038461538461538464,0.0641025641025641,0.05128205128205128,0.0641025641025641,0.0,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.01282051282051282,0.34615384615384615
Ethiopia,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.20833333333333334,0.08333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.125
Finland,0.03187250996015936,0.12749003984063745,0.14741035856573706,0.12749003984063745,0.08764940239043825,0.05976095617529881,0.035856573705179286,0.03187250996015936,0.027888446215139442,0.03187250996015936,0.027888446215139442,0.01195219123505976,0.0199203187250996,0.02390438247011952,0.027888446215139442,0.01195219123505976,0.16733067729083664
France,0.08125741399762752,0.20937129300118623,0.1951364175563464,0.1376037959667853,0.08600237247924081,0.06287069988137604,0.04151838671411625,0.033214709371293,0.025504151838671413,0.02372479240806643,0.01601423487544484,0.012455516014234875,0.013048635824436536,0.011862396204033215,0.004151838671411625,0.005931198102016607,0.04033214709371293
France [],0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.0,0.14285714285714285,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
Georgia,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.26666666666666666
Germany,0.15001509206157562,0.260790824026562,0.20947781466948384,0.11620887413220646,0.07364926048898279,0.04316329610624811,0.031995170540295804,0.024750980984002413,0.018412315122245698,0.017204950196196802,0.007546030787805615,0.005734983398732267,0.006036824630244492,0.006036824630244492,0.00392393600965892,0.0033202535466344703,0.02173256866888017
Germany [],0.0,0.19047619047619047,0.23809523809523808,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,0.04395604395604396,0.08791208791208792,0.13186813186813187,0.07692307692307693,0.04395604395604396,0.02197802197802198,0.04395604395604396,0.03296703296703297,0.06593406593406594,0.04395604395604396,0.03296703296703297,0.02197802197802198,0.06593406593406594,0.04395604395604396,0.01098901098901099,0.02197802197802198,0.2087912087912088
Guinea,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0
